City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Maximum Temperature,Wind Speed (mph)
270,Mossendjo,95,CG,1621891090,97,-2.9506,12.7261,71.33,1.68
271,Port Macquarie,73,AU,1621891090,77,-31.4333,152.9167,55.36,1.28
272,Naifaru,100,MV,1621891091,74,5.4444,73.3657,84.11,24.32
273,Cockburn Town,13,TC,1621891091,75,21.4612,-71.1419,79.45,18.28
274,Doha,0,QA,1621891091,52,25.2867,51.5333,91.71,2.3
275,Upata,95,VE,1621891091,66,8.0086,-62.3989,85.19,8.16
276,Daru,94,PG,1621891092,82,-9.0763,143.2092,77.54,16.82
277,Labis,99,MY,1621891092,95,2.385,103.021,74.88,0.87
278,Maxixe,5,MZ,1621891092,70,-23.8597,35.3472,63.82,3.67
279,San Jose,40,US,1621890882,32,37.3394,-121.895,85.64,1.01
280,Casma,100,CL,1621891093,92,-41.0082,-73.1244,52.88,3.6
281,Columbus,75,US,1621890883,54,39.9612,-82.9988,87.06,4.61
282,Nizwá,1,OM,1621891093,36,22.9333,57.5333,86.77,2.19
283,Vanavara,95,RU,1621890691,92,60.34,102.2797,44.96,2.82
284,Shurugwi,0,ZW,1621891094,77,-19.6702,30.0059,46.02,2.28
285,Alīganj,88,IN,1621891094,27,27.5,79.1833,84.65,8.46
286,Yangi Marg`ilon,95,UZ,1621891094,38,40.4272,71.7189,69.22,3.18
287,Bireun,96,ID,1621890594,81,5.203,96.7009,77.95,4.21
288,Faanui,95,PF,1621890586,74,-16.4833,-151.75,81.66,12.15
289,Geraldton,88,AU,1621890582,63,-28.7667,114.6,54.01,9.22
290,Acaraú,86,BR,1621891095,80,-2.8856,-40.12,80.76,14.45
291,Jumla,12,NP,1621891095,84,29.2747,82.1838,53.47,3.09
292,Yaan,44,NG,1621890697,67,7.3833,8.5667,81.88,6.38
293,Bengkulu,98,ID,1621890562,91,-3.8004,102.2655,75.87,3.2
294,Walvis Bay,9,NA,1621891096,43,-22.9575,14.5053,73.09,7.61
295,Morong,6,PH,1621891096,82,14.5115,121.2393,82.96,2.62
296,Manokwari,85,ID,1621891096,84,-0.8667,134.0833,78.75,5.39
297,Qaqortoq,100,GL,1621890644,62,60.7167,-46.0333,46.9,10.69
298,Kruisfontein,97,ZA,1621890594,62,-34.0033,24.7314,63.88,5.53
299,Kulhudhuffushi,100,MV,1621891097,75,6.6221,73.07,83.68,24.81
300,Constitución,6,CL,1621890663,74,-35.3333,-72.4167,59.56,11.74
301,Baruun-Urt,100,MN,1621891097,56,46.6806,113.2792,37.6,7.11
302,Vilhena,75,BR,1621891098,78,-12.7406,-60.1458,77.22,9.22
303,Alofi,75,NU,1621890530,83,-19.0595,-169.9187,82.29,6.91
304,Lodwar,47,KE,1621891098,46,3.1191,35.5973,85.5,1.74
305,Havre-St-Pierre,13,CA,1621890509,62,50.2334,-63.5986,42.6,21.27
306,Scottsbluff,1,US,1621890984,45,41.8666,-103.6672,73.83,0.0
307,Ugoofaaru,100,MV,1621891098,75,5.6667,73.0,83.66,23.89
308,Coburg,100,DE,1621890937,85,50.2667,10.9667,55.78,6.78
309,East London,100,ZA,1621890434,35,-33.0153,27.9116,76.21,10.31
310,Mahajanga,20,MG,1621891099,94,-15.7167,46.3167,71.62,2.3
311,Poya,56,NC,1621891099,62,-21.35,165.15,71.15,9.48
312,Maniitsoq,100,GL,1621891100,94,65.4167,-52.9,31.71,15.9
313,Mochudi,0,BW,1621891100,51,-24.4167,26.15,46.99,0.87
314,São Raimundo das Mangabeiras,100,BR,1621891100,52,-7.0219,-45.4811,82.51,5.7
315,Immokalee,1,US,1621891101,29,26.4187,-81.4173,92.95,11.5
316,Nizhniy Odes,99,RU,1621891101,98,63.6445,54.856,50.04,3.71
317,Rio Grande,0,BR,1621891101,67,-32.035,-52.0986,54.95,14.12
318,Caucayá,89,CO,1621890573,70,-0.1934,-74.7819,83.43,1.81
319,Khovd,60,MN,1621891102,66,48.0056,91.6419,54.0,4.5
320,Dwārka,6,IN,1621891102,77,22.2394,68.9678,83.08,15.12
321,Lazi,100,UA,1621891102,85,48.0667,24.2333,53.17,3.4
322,Tuatapere,12,NZ,1621890623,87,-46.1333,167.6833,34.83,4.45
323,Alta Floresta,52,BR,1621891103,80,-9.8756,-56.0861,78.4,4.16
324,Soligalich,24,RU,1621891103,92,59.0778,42.2864,47.26,5.68
325,Kingston,20,JM,1621891103,62,17.997,-76.7936,86.95,18.41
326,Karratha,73,AU,1621891104,42,-20.7377,116.8463,68.34,14.92
327,Dali,95,CN,1621891104,94,25.7,100.1833,60.51,3.09
328,Santa Cruz,4,MA,1621891081,58,30.4202,-9.5982,68.45,6.8
329,Aklavik,86,CA,1621890665,63,68.2191,-135.0107,45.63,9.86
330,Mehrān,0,IR,1621891105,13,33.1222,46.1646,80.08,7.09
331,San Rafael,0,AR,1621891105,29,-34.6177,-68.3301,63.39,5.79
332,Katsuura,99,JP,1621890517,85,35.1333,140.3,67.19,6.4
333,Airai,7,TL,1621891105,87,-8.9266,125.4092,56.19,2.98
334,Pamanukan,97,ID,1621890675,92,-6.2842,107.8106,75.99,6.4
335,Sur,0,OM,1621890706,49,22.5667,59.5289,88.9,14.14
336,Skjervøy,28,NO,1621891106,63,70.0311,20.9714,41.32,13.02
337,Broome,20,US,1621890668,60,42.2506,-75.833,75.22,3.0
338,Benjamin Constant,75,BR,1621891106,81,-4.3831,-70.0311,84.33,5.37
339,Baharly,89,TM,1621891106,26,38.4362,57.4316,83.48,6.64
340,Ilhabela,78,BR,1621891107,65,-23.7781,-45.3581,64.36,7.63
341,Emilio Carranza,11,MX,1621891107,67,19.9711,-96.6114,84.49,8.52
342,Pokhara,67,NP,1621891107,38,28.2333,83.9833,73.49,6.42
343,Cabo San Lucas,1,MX,1621890543,57,22.8909,-109.9124,88.61,4.61
344,Inírida,99,CO,1621890631,95,3.8653,-67.9239,77.77,1.68
345,Hirado,99,JP,1621891108,77,33.3597,129.5531,64.38,7.67
346,Tessalit,83,ML,1621891108,11,20.1986,1.0114,100.85,3.11
347,Porto-Novo,51,BJ,1621890944,79,6.4965,2.6036,84.02,6.53
348,College,20,US,1621891049,30,64.8569,-147.8028,67.39,5.75
349,Ust'-Kut,100,RU,1621891109,74,56.7938,105.7672,43.21,2.64
350,Bentiu,77,SS,1621891109,62,9.2333,29.8333,81.48,7.09
351,Synya,100,RU,1621891109,50,65.3718,58.0387,42.64,7.63
352,Nador,0,MA,1621890539,49,35.174,-2.9287,64.65,4.03
353,Pevek,100,RU,1621891110,83,69.7008,170.3133,32.38,3.49
354,Mount Gambier,90,AU,1621890537,52,-37.8333,140.7667,64.31,23.02
355,Hinche,68,HT,1621891110,60,19.15,-72.0167,85.42,12.8
356,Bonnyville,100,CA,1621890916,81,54.2668,-110.735,61.43,20.04
357,Nago,100,JP,1621891110,86,26.5881,127.9761,77.45,1.52
358,Union,90,US,1621890937,46,40.6334,-74.2663,67.41,10.36
359,Orán,100,AR,1621891111,50,-23.1322,-64.326,65.43,3.51
360,Bathsheba,75,BB,1621891111,74,13.2167,-59.5167,83.01,17.02
361,Liku,61,ID,1621891111,91,-0.7275,119.8922,75.16,2.75
362,Santiago del Estero,1,AR,1621891112,34,-27.7951,-64.2615,66.38,7.2
363,Ratodero,0,PK,1621891112,25,27.803,68.2871,93.33,7.72
364,Nabire,98,ID,1621891112,90,-3.3667,135.4833,75.79,3.91
365,Cabedelo,50,BR,1621890664,79,-6.9811,-34.8339,79.47,11.59
366,Kitimat,88,CA,1621891113,53,54.0524,-128.6534,59.92,1.01
367,Esmeraldas,94,BR,1621891113,58,-19.7625,-44.3139,77.86,4.09
368,Kalvarija,98,LT,1621891113,81,54.4,23.2333,49.78,7.78
369,Gouré,4,NE,1621891114,9,13.9835,10.2704,87.69,7.87
370,New Gloucester,1,US,1621891114,52,43.9628,-70.2825,70.7,1.01
371,Port Elizabeth,100,ZA,1621890601,70,-33.918,25.5701,66.09,10.71
372,Jalu,0,LY,1621891114,11,29.0331,21.5482,81.52,7.25
373,Mazyr,31,BY,1621891115,76,52.0495,29.2456,50.56,3.4
374,Saskylakh,7,RU,1621890528,89,71.9167,114.0833,36.93,5.46
375,Winona,40,US,1621891115,74,43.9666,-91.7668,82.2,13.38
376,Aitape,99,PG,1621891116,85,-3.1374,142.3475,79.02,4.23
377,Fort Nelson,100,CA,1621890688,46,58.8053,-122.7002,57.16,7.67
378,Kortkeros,10,RU,1621891116,77,61.8106,51.5806,48.2,8.46
379,Bandarbeyla,0,SO,1621891117,67,9.4942,50.8122,82.13,16.6
380,Avera,13,US,1621891117,32,33.194,-82.5271,93.88,2.98
381,Sayyan,18,YE,1621891117,42,15.1718,44.3244,65.1,1.79
382,Itoman,20,JP,1621891117,88,26.1247,127.6694,77.4,2.3
383,São Filipe,2,CV,1621891118,79,14.8961,-24.4956,73.22,10.83
384,Ngunguru,100,NZ,1621891118,70,-35.6167,174.5,55.17,26.17
385,Lososina,100,RU,1621891118,99,48.9975,140.3106,43.61,7.63
386,Verkhnevilyuysk,100,RU,1621891119,81,63.4453,120.3167,44.67,8.1
387,Rajhrad,90,CZ,1621891119,84,49.0902,16.6039,55.62,11.5
388,Sioux Lookout,40,CA,1621891119,73,50.1001,-91.917,70.18,14.97
389,Rundu,0,NA,1621891119,49,-17.9333,19.7667,56.12,4.97
390,Aktau,0,KZ,1621891072,36,43.65,51.2,75.78,12.1
391,Tres Arroyos,9,AR,1621891120,50,-38.3739,-60.2798,58.96,18.52
392,Zhigansk,100,RU,1621890546,44,66.7697,123.3711,45.16,4.12
393,Tura,100,IN,1621890380,90,25.5198,90.2201,73.85,5.06
394,Isla Vista,1,US,1621891120,41,34.4133,-119.861,92.07,6.91
395,Honningsvåg,13,NO,1621891121,67,70.9821,25.9704,36.5,10.42
396,Victor Harbor,98,AU,1621891121,90,-35.5667,138.6167,60.19,4.0
397,Inuvik,12,CA,1621891121,87,68.3499,-133.7218,40.06,8.05
398,Shellbrook,100,CA,1621891121,93,53.2168,-106.4011,52.83,20.65
399,Kangaatsiaq,100,GL,1621890557,38,68.3065,-53.4641,42.89,31.72
400,Līsakovsk,7,KZ,1621891122,32,52.5369,62.4936,74.25,9.1
401,Hillsborough,75,US,1621890983,70,37.5741,-122.3794,86.22,24.16
402,Puerto Escondido,1,MX,1621891122,66,15.85,-97.0667,90.43,5.75
403,Senanga,0,ZM,1621891123,53,-16.1167,23.2667,58.75,6.22
404,Lamont,0,US,1621890568,14,35.2597,-118.9143,93.79,6.6
405,Chicama,25,PE,1621891123,70,-7.8447,-79.1469,66.74,8.9
406,Flinders,100,AU,1621890511,92,-34.5833,150.8552,60.39,1.01
407,Hobyo,90,SO,1621891123,69,5.3505,48.5268,80.04,20.04
408,Essenbach,100,DE,1621891124,98,48.6167,12.2167,53.64,8.68
409,Bonthe,53,SL,1621891124,84,7.5264,-12.505,81.39,5.32
410,Beringovskiy,100,RU,1621891125,90,63.05,179.3167,33.76,11.65
411,Sechura,36,PE,1621890655,64,-5.5569,-80.8222,77.85,12.06
412,Natagaima,83,CO,1621891125,51,3.6206,-75.0941,90.48,2.77
413,Poykovskiy,75,RU,1621891125,75,61.2333,73.3333,50.29,8.41
414,San Patricio,45,US,1621891126,68,28.017,-97.5169,84.29,16.4
415,Sambava,4,MG,1621891126,83,-14.2667,50.1667,69.17,9.42
416,Umm Hājar,56,TD,1621891126,9,13.2954,19.6966,88.83,12.66
417,Kaeo,100,NZ,1621891127,77,-35.1,173.7833,55.33,14.32
418,Kavaratti,95,IN,1621890413,75,10.5669,72.642,83.79,12.75
419,Bay Roberts,100,CA,1621891127,60,47.5999,-53.2648,37.06,7.0
420,Harper,51,LR,1621890576,82,4.375,-7.7169,80.65,8.08
421,Havøysund,54,NO,1621891128,67,70.9963,24.6622,36.48,9.69
422,Tombouctou,100,ML,1621891128,24,20.0,-3.0,93.49,21.23
423,Akdepe,3,TM,1621891128,32,42.0551,59.3788,73.49,9.19
424,Camargo,46,MX,1621891129,11,27.6667,-105.1667,90.57,6.44
425,Ambulu,96,ID,1621891129,91,-8.345,113.6058,75.34,2.98
426,Razdol'noye,14,RU,1621891129,69,43.55,131.9167,43.21,2.21
427,Lafia,83,NG,1621891130,63,8.4833,8.5167,84.33,3.85
428,Hazorasp,3,UZ,1621891130,18,41.3194,61.0742,76.84,7.14
429,Karagay,100,RU,1621891130,84,58.2667,54.9368,57.65,4.94
430,Toora-Khem,73,RU,1621891131,88,52.4675,96.11,45.46,11.92
431,Vostok,77,RU,1621890565,91,46.4856,135.8833,43.47,1.48
432,Ayan,100,RU,1621891131,90,56.45,138.1667,34.21,22.73
433,Namatanai,100,PG,1621890556,86,-3.6667,152.4333,79.93,9.13
434,Teguise,20,ES,1621891131,82,29.0605,-13.564,62.82,27.27
435,Srandakan,93,ID,1621891132,89,-7.9386,110.2506,77.11,4.63
436,Kiama,99,AU,1621891132,81,-34.6833,150.8667,60.58,5.99
437,Neiafu,40,TO,1621891132,83,-18.65,-173.9833,81.28,5.75
438,Chegdomyn,96,RU,1621891133,90,51.1167,133.0167,44.65,1.54
439,Slatina,87,RO,1621891133,69,44.4333,24.3667,66.43,12.59
440,Orange Cove,1,US,1621891133,15,36.6244,-119.3137,88.68,6.46
441,San Vicente,12,AR,1621891134,65,-26.6167,-54.1333,50.45,1.34
442,Elva,10,EE,1621891134,91,58.2225,26.4211,48.34,6.02
443,Río Viejo,67,CO,1621891134,54,8.5874,-73.839,91.8,4.29
444,Kagoro,61,NG,1621891134,72,9.6,8.3833,76.41,2.57
445,Moshkovo,100,RU,1621891135,67,55.3053,83.6104,57.15,4.59
446,Broken Hill,34,AU,1621891135,44,-31.95,141.4333,61.68,25.79
447,Laguna,1,US,1621890584,30,38.421,-121.4238,89.44,4.0
448,Sitka,90,US,1621891135,71,57.0531,-135.33,48.09,13.8
449,Santa Rosa,9,PH,1621890447,85,14.3122,121.1114,82.9,1.59
450,Ahipara,100,NZ,1621891136,70,-35.1667,173.1667,57.13,13.35
451,Rome,1,US,1621891136,38,43.2128,-75.4557,76.86,5.75
452,Abu Kamal,24,SY,1621891136,40,34.4506,40.9171,73.89,7.23
453,Kiunga,99,PG,1621891137,99,-6.1219,141.2906,73.08,3.31
454,Saint Lawrence,0,MT,1621891137,80,36.0553,14.204,67.41,7.18
455,Husavik,89,IS,1621891137,72,66.0449,-17.3389,44.51,9.91
456,Port-Gentil,98,GA,1621891138,85,-0.7193,8.7815,80.47,12.15
457,Praia da Vitória,40,PT,1621891138,72,38.7333,-27.0667,64.65,14.18
458,Kollam,100,IN,1621891138,83,8.8833,76.6,85.87,4.72
459,Vila Velha,75,BR,1621890445,85,-20.3297,-40.2925,76.95,14.0
460,Portland,90,US,1621890916,86,45.5234,-122.6762,61.84,3.0
461,Lowestoft,20,GB,1621891139,88,52.4752,1.7516,49.15,6.24
462,Burnie,100,AU,1621891071,92,-41.0667,145.9167,56.95,9.1
463,Flers,93,FR,1621891139,88,48.7372,-0.5747,48.45,13.35
464,Tauá,99,BR,1621891140,59,-5.9667,-40.3,78.15,9.91
465,Brownwood,95,US,1621891140,70,31.7093,-98.9912,83.97,14.16
466,Cartagena,40,CO,1621891037,70,10.3997,-75.5144,89.22,11.5
467,Charters Towers,71,AU,1621891141,90,-20.1,146.2667,59.7,6.91
468,Ozinki,100,RU,1621891141,88,51.1786,49.6769,66.97,11.77
469,Takoradze,36,GH,1621891141,84,4.8845,-1.7554,81.23,9.33
470,Puri,100,IN,1621890908,75,19.8,85.85,82.38,30.38
471,Strzegom,100,PL,1621891142,84,50.9626,16.3501,55.72,9.78
472,Abu Samrah,0,SY,1621891142,51,35.3029,37.1841,70.41,8.41
473,Pangoa,100,PE,1621891142,100,-12.1167,-73.0,67.06,2.82
474,Syas'stroy,70,RU,1621891143,87,60.1367,32.5691,45.21,4.56
475,Nong’an,94,CN,1621891143,42,44.382,125.1685,43.21,6.82
476,Tabas,0,IR,1621891021,22,33.5959,56.9244,83.98,4.16
477,Ilulissat,75,GL,1621891143,33,69.2167,-51.1,44.62,12.66
478,Port Hawkesbury,1,CA,1621891144,47,45.6169,-61.3485,51.19,5.99
479,Peterhead,100,GB,1621891144,94,57.5058,-1.7981,47.44,12.97
480,Sidi Ali,0,DZ,1621891144,62,36.0998,0.4206,63.32,2.26
481,Boyolangu,88,ID,1621891145,93,-8.1181,111.8935,75.78,2.73
482,Conway,1,US,1621890883,56,35.0887,-92.4421,85.98,4.0
483,Sangar,100,RU,1621891145,74,63.9242,127.4739,45.43,15.57
484,Wewak,95,PG,1621891145,88,-3.5534,143.6268,79.11,4.99
485,São João da Barra,100,BR,1621890576,70,-21.6403,-41.0511,75.29,14.99
486,Vila,40,PT,1621890625,94,42.0304,-8.1588,47.32,3.51
487,Osakarovka,37,KZ,1621891146,41,50.565,72.5692,69.12,2.89
488,Hervey Bay,93,AU,1621891146,67,-25.2986,152.8535,67.03,10.74
489,Inta,100,RU,1621891146,48,66.0317,60.1659,43.0,13.98
490,Tonantins,62,BR,1621891147,62,-2.8731,-67.8022,86.83,2.84
491,Prieska,100,ZA,1621891147,40,-29.6641,22.7474,62.04,8.1
492,Usinsk,100,RU,1621891148,48,65.9939,57.5281,41.85,16.73
493,Vaasa,90,FI,1621891148,81,63.096,21.6158,44.62,1.14
494,Hanna,100,CA,1621890930,92,51.6334,-111.9018,53.11,13.0
495,Orlik,98,RU,1621891148,98,52.5178,99.825,35.42,2.86
496,Atasū,1,KZ,1621891149,39,48.6814,71.6433,67.87,8.48
497,Petropavlovsk-Kamchatskiy,8,RU,1621890703,74,53.0452,158.6483,39.79,5.55
498,San Policarpo,76,PH,1621891149,86,12.1791,125.5072,79.79,5.84
499,Hongjiang,100,CN,1621891149,98,27.11,109.9956,66.02,1.03
500,Soubre,78,CI,1621891150,87,5.7856,-6.6083,77.88,4.23
501,Standerton,0,ZA,1621891150,54,-26.9337,29.2415,47.61,3.78
502,Antalaha,7,MG,1621890587,85,-14.9003,50.2788,67.89,7.16
503,Salalah,75,OM,1621890446,66,17.0151,54.0924,86.09,8.05
504,Corinth,0,GR,1621890877,52,37.9407,22.9573,78.84,0.96
505,Rensvik,100,NO,1621891151,67,63.1,7.8167,55.67,4.61
506,Nuuk,90,GL,1621890412,93,64.1835,-51.7216,29.01,13.8
507,Lunglei,100,IN,1621891151,99,22.8833,92.7333,68.34,2.28
508,Barcelos,5,PT,1621891152,83,41.5388,-8.6151,56.84,8.37
509,Esso,17,RU,1621891152,77,55.9333,158.7,35.92,0.98
510,Kingaroy,40,AU,1621891152,100,-26.5333,151.8333,50.04,4.61
511,Olinda,20,BR,1621891153,75,-8.0089,-34.8553,80.33,11.43
512,Kandrian,100,PG,1621891153,85,-6.2167,149.55,79.23,13.11
513,Jalesar,1,IN,1621891153,26,27.4833,78.3167,85.39,6.73
514,Poopó,97,BO,1621891154,20,-18.3667,-66.9667,53.26,9.4
515,Presidente Médici,99,BR,1621891154,87,-11.1753,-61.9014,75.45,3.96
516,Izhma,100,RU,1621891154,78,65.0083,53.9113,41.31,5.79
517,Margate,41,GB,1621890618,83,51.3813,1.3862,49.03,10.31
518,Celendín,40,PE,1621891155,60,-6.8703,-78.1517,66.72,5.77
519,Shemonaīkha,33,KZ,1621890977,90,50.6328,81.9056,58.51,4.76
520,Seoul,75,KR,1621890868,72,37.5683,126.9778,58.6,6.76
521,Stara Vyzhivka,100,UA,1621891155,69,51.4376,24.44,54.45,8.08
522,Yulara,40,AU,1621890630,77,-25.2406,130.9889,58.84,5.75
523,Norman Wells,93,CA,1621890621,46,65.282,-126.8329,53.01,6.44
524,Grindavik,75,IS,1621890631,72,63.8424,-22.4338,46.87,14.76
525,Atambua,8,ID,1621891156,87,-9.1061,124.8925,69.89,4.59
526,Zyryanka,8,RU,1621890632,29,65.75,150.85,55.69,1.72
527,Aykhal,2,RU,1621890587,44,66.0,111.5,41.92,5.64
528,Seymchan,100,RU,1621891156,55,62.8833,152.4333,51.33,2.93
529,Ancud,80,CL,1621891156,69,-41.8697,-73.8203,51.33,11.21
530,Khobi,78,GE,1621891157,94,42.3156,41.8987,59.34,2.89
531,Toropets,5,RU,1621891157,95,56.4978,31.6353,44.47,4.0
532,Northam,7,GB,1621890682,82,51.0333,-4.2167,50.61,15.01
533,Carutapera,88,BR,1621890640,79,-1.195,-46.02,80.19,9.71
534,Lázaro Cárdenas,0,MX,1621891158,50,17.9583,-102.2,86.86,11.83
535,Muroto-misakicho,69,JP,1621891158,81,33.2833,134.15,65.44,4.81
536,Touros,99,BR,1621890687,78,-5.1989,-35.4608,79.7,13.8
537,Lianzhou,68,CN,1621891158,97,24.7811,112.3825,65.64,1.9
538,Boa Vista,75,BR,1621891158,74,2.8197,-60.6733,82.38,5.75
539,Fortuna,1,US,1621891159,64,40.5982,-124.1573,74.43,4.0
540,Mazatlán,1,MX,1621891159,66,23.2167,-106.4167,89.56,7.0
541,Taltal,100,CL,1621890629,68,-25.4,-70.4833,66.54,5.17
542,Ürümqi,0,CN,1621891159,28,43.801,87.6005,65.35,1.99
